Keraunos PredicThor Energy.
Reporte generado por: http://ktws.keraunos.co/predicthorEnergy/
Diagnóstico de fallas.

Relación de rayos que ocurrieron en la zona de visualización.
Fecha, Latitud, Longitud, Corriente (kA), Altitud (km), Tipo, Error(km)
"2021-03-02 02:14:30", 0, "","LINEAS ",""
"2021-03-02 02:15:00", 0, "","LINEAS ",""
"2021-03-02 02:15:30", 0, "","LINEAS ",""
"2021-03-02 02:16:00", 0, "","LINEAS ",""
"2021-03-02 02:16:30", 0, "","LINEAS ",""
"2021-03-02 02:17:00", 0, "","LINEAS ",""
"2021-03-02 02:17:30", 0, "","LINEAS ",""
"2021-03-02 02:18:00", 0, "","LINEAS ",""

Alertas emitidas por el sistema de monitoreo y rayos en la zona de incidencia agregadas por infraestructura. 
"Nombre infraestructura", "Total de rayos", "Nivel máximo de alarma", "Corriente máxima (kA)"
"DISTRIBUCION", 0, 0, 
"ALTA TENSION", 0, 2, 

Fallas  registradas en el sistema de monitoreo agregadas por fecha. 
"Fecha", "Duración (min)", "Causa","Numero fallas", "Variables numéricas" , "Valores numéricos", "Variables texto" , "Valores texto", "Circuito"

